YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    80.8    77.3    87.1    71.5    53.5    66.5    61.5    67.9    75.5    80.4    79.2    89.7    70.7    65.3    78.4    86.5    74.2
 1902    90.2    79.5    78.4    71.6    77.5    64.5    70.6    74.7    75.1    82.4    81.5    86.0    75.8    69.9    79.7    83.5    77.7
 1903    85.9    78.8    72.1    87.0    65.3    68.5    73.2    77.5    72.4    84.6    87.0    92.0    74.8    73.1    81.3    88.7    78.7
 1904    87.3    86.9    81.2    72.7    66.7    65.9    56.0    61.0    73.2    78.5    86.4    88.3    73.5    61.0    79.4    85.4    75.3
 1905    82.6    85.2    79.9    80.9    60.0    62.6    68.7    70.1    82.3    84.6    85.9    89.7    73.6    67.1    84.2    88.3    77.7
 1906    86.9    88.2    84.0    63.1    75.3    76.1    70.5    71.4    71.6    78.0    88.9    86.7    74.1    72.7    79.5    86.8    78.4
 1907    87.7    85.9    75.2    73.6    62.8    80.2    80.3    74.8    66.6    80.7    81.7    90.4    70.5    78.4    76.3    86.4    78.3
 1908    80.0    88.8    84.3    79.2    76.3    67.4    74.6    76.7    75.2    66.0    75.4    91.6    79.9    72.9    72.2    84.5    78.0
 1909    83.1    78.8    85.3    65.6    55.0    75.9    83.4    71.6    81.2    80.6    83.5    87.8    68.6    77.0    81.8    87.1    77.7
 1910    88.0    85.5    71.4    73.8    66.8    71.4    83.4    74.3    79.3    78.6    86.3    89.5    70.7    76.4    81.4    87.3    79.0
 1911    91.1    81.3    78.3    70.1    61.3    68.6    57.2    55.2    66.5    77.6    86.4    89.9    69.9    60.3    76.8    84.4    73.6
 1912    86.7    76.5    85.3    66.3    64.6    72.1    66.0    81.5    81.4    75.1    91.2    88.3    72.1    73.2    82.6    84.7    77.9
 1913    88.8    77.0    77.6    68.2    66.8    76.1    81.9    71.1    72.8    74.6    88.9    91.0    70.9    76.3    78.8    83.9    77.9
 1914    85.3    75.3    85.1    62.2    73.6    71.4    73.8    68.7    73.3    85.8    89.6    88.7    73.6    71.3    82.9    88.1    77.7
 1915    92.2    83.2    88.3    71.0    57.5    56.6    74.3    75.7    69.7    83.8    84.1    86.3    72.3    68.9    79.2    85.3    76.9
 1916    87.5    82.0    81.7    69.8    63.6    78.8    77.2    74.0    75.0    83.9    85.8    90.4    71.7    76.6    81.6    86.3    79.1
 1917    91.6    76.9    83.8    84.1    45.8    52.7    69.7    76.9    70.9    78.6    88.2    87.4    71.3    66.5    79.2    84.7    75.6
 1918    84.1    82.6    69.1    83.8    55.1    74.3    74.4    74.1    81.9    85.7    85.0    90.9    69.3    74.3    84.2    88.6    78.4
 1919    91.2    83.7    86.5    80.8    53.7    66.5    82.6    67.9    66.3    80.7    89.0    88.4    73.7    72.3    78.7    82.4    78.1
 1920    86.2    72.5    70.6    84.3    66.9    65.3    73.9    79.5    80.5    65.8    78.4    90.9    73.9    72.9    74.9    86.7    76.2
 1921    88.5    80.7    65.7    62.1    57.1    71.3    62.1    65.0    65.5    68.0    82.5    88.1    61.6    66.2    72.0    82.5    71.4
 1922    84.7    74.8    83.5    82.0    55.1    71.8    80.2    74.2    83.3    77.9    86.3    93.3    73.5    75.4    82.5    90.4    78.9
