Year,Cloud cover,potential evapo-transpiration,Precipitation rate,Minimum 2m temperature,Mean 2m temperature,Maximum 2m temperature,Vapour pressure,Frost days,Wet days,cld_MAM,cld_JJA,cld_SON,cld_DJF,dtr_MAM,dtr_JJA,dtr_SON,dtr_DJF,frs_MAM,frs_JJA,frs_SON,frs_DJF,pet_MAM,pet_JJA,pet_SON,pet_DJF,pre_MAM,pre_JJA,pre_SON,pre_DJF,tmn_MAM,tmn_JJA,tmn_SON,tmn_DJF,tmp_MAM,tmp_JJA,tmp_SON,tmp_DJF,tmx_MAM,tmx_JJA,tmx_SON,tmx_DJF,vap_MAM,vap_JJA,vap_SON,vap_DJF,wet_MAM,wet_JJA,wet_SON,wet_DJF,wind_speed_10m_max
1961.0,74.98333333333333,1.6833333333333331,74.47500000000001,6.075,9.85,13.691666666666668,10.3,75.9,202.7,72.0,69.1,77.3,82.4,8.5,9.1,7.2,5.4,15.7,0.0,11.6,50.7,2.0,3.0,1.3,0.6,129.6,246.5,253.8,236.7,5.3,10.9,7.6,0.2,9.5,15.4,11.2,2.9,13.7,20.0,14.8,5.6,9.3,13.6,11.5,6.4,43.9,46.2,53.5,57.7,21.774876
1962.0,77.60000000000001,1.4833333333333334,61.775,4.541666666666667,8.15,11.766666666666667,9.391666666666667,103.0,188.2,78.4,72.0,77.7,80.6,7.6,8.7,7.2,5.8,33.4,0.4,14.8,77.7,1.6,2.7,1.0,0.2,171.1,185.8,166.3,121.3,2.7,10.1,5.8,-5.8,6.5,14.5,9.4,-2.8,10.3,18.8,13.0,0.0,7.9,13.0,10.5,4.7,49.6,40.6,42.3,41.2,22.59832
1963.0,75.64999999999999,1.4833333333333334,57.68333333333334,4.066666666666666,7.833333333333333,11.608333333333333,9.725,113.3,177.6,72.3,70.3,78.0,84.1,8.4,9.0,7.1,5.2,27.7,0.0,7.9,62.8,1.7,2.9,1.1,0.3,164.0,252.2,223.2,65.1,3.6,11.3,7.2,-1.5,7.8,15.8,10.7,1.1,12.0,20.4,14.3,3.7,8.9,14.0,11.1,6.2,46.0,47.6,52.8,33.0,20.312769
1964.0,74.26666666666667,1.6166666666666665,56.95,5.2250000000000005,9.033333333333331,12.925,10.183333333333334,96.5,175.6,73.7,63.2,75.9,87.0,8.2,10.0,7.4,4.7,27.3,0.0,14.0,49.5,1.8,3.1,1.1,0.6,130.8,201.7,219.5,194.5,3.9,11.2,6.0,0.3,8.0,16.2,9.7,2.6,12.1,21.3,13.5,5.0,9.2,14.7,10.5,6.2,43.3,41.1,48.1,54.7,20.64067
1965.0,77.14166666666667,1.45,79.34166666666667,4.933333333333334,8.575000000000001,12.25,9.908333333333331,95.4,211.8,73.8,73.4,73.9,85.7,8.2,8.6,7.8,4.9,28.8,0.0,22.0,47.1,1.6,2.6,0.9,0.5,205.6,290.4,180.8,289.6,3.4,10.6,4.9,0.6,7.5,14.8,8.7,3.0,11.7,19.1,12.7,5.5,8.9,14.0,10.4,6.8,52.5,50.4,47.1,61.3,21.647125
1966.0,77.85833333333333,1.575,82.325,5.775,9.341666666666669,12.958333333333334,10.308333333333334,82.3,214.9,74.5,71.7,80.4,84.3,8.1,8.8,6.7,5.1,21.3,0.0,12.9,38.6,1.9,2.8,1.1,0.7,172.4,297.0,236.1,269.4,4.6,11.4,6.7,1.7,8.6,15.8,10.0,4.3,12.7,20.3,13.4,6.9,8.9,14.4,11.0,6.9,47.2,52.1,53.9,59.9,21.361628
1967.0,75.675,1.7333333333333334,67.925,6.191666666666666,9.891666666666667,13.641666666666666,10.333333333333334,73.2,198.2,71.3,67.6,78.9,86.0,8.5,9.4,6.9,4.9,21.2,0.0,11.2,52.5,2.0,3.0,1.2,0.5,175.7,145.5,280.4,208.4,4.5,11.6,7.2,-0.0,8.7,16.3,10.7,2.4,13.0,21.0,14.1,4.9,8.9,14.8,10.9,6.3,48.4,37.3,57.0,55.8,22.62444
1968.0,77.78333333333333,1.55,69.11666666666666,5.575,9.133333333333333,12.725,10.275,92.8,195.4,68.4,72.3,84.0,87.0,8.9,8.7,6.1,4.7,22.8,0.0,9.8,57.0,2.0,2.8,0.9,0.4,143.6,274.1,264.2,145.4,4.1,11.7,7.5,-0.9,8.5,16.0,10.5,1.5,13.0,20.4,13.6,3.8,8.7,14.5,11.7,6.3,43.1,49.9,55.9,46.5,20.805838
1969.0,76.39166666666667,1.625,60.65833333333333,5.358333333333333,9.033333333333331,12.733333333333334,10.291666666666666,100.1,181.8,73.7,70.4,74.0,85.8,8.2,9.0,7.7,4.9,32.0,0.0,8.7,67.3,1.8,3.0,1.3,0.2,194.2,244.5,142.2,178.7,3.2,12.2,7.4,-2.4,7.3,16.7,11.3,0.1,11.4,21.2,15.2,2.5,8.5,14.9,11.5,6.2,49.3,44.8,39.6,51.5,20.654068
1970.0,77.19166666666666,1.575,67.75,5.325,8.933333333333334,12.6,10.141666666666667,97.0,200.3,79.0,66.6,78.1,84.8,7.5,9.5,7.0,5.0,31.5,0.0,7.4,47.3,1.6,3.1,1.3,0.6,170.7,190.6,267.3,144.5,3.2,11.8,7.3,0.6,6.9,16.5,10.8,3.1,10.7,21.3,14.4,5.7,8.4,14.7,10.9,6.5,50.3,40.7,57.0,46.7,21.892036
