YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    24.9    23.1    15.8     6.9     1.9     0.0     0.0     0.0     0.0     1.9    12.4    14.2    24.7     0.0    14.4    45.1   101.3
 1902     9.7    21.2    13.2     8.5     6.1     0.0     0.0     0.0     0.5     5.4    15.0    22.0    27.7     0.0    20.9    46.9   101.6
 1903    15.9     9.0     8.5    12.7     1.0     0.1     0.0     0.0     0.0     1.0     8.0    18.5    22.2     0.1     9.1    53.8    74.8
 1904    20.6    14.7    15.6     5.4     1.5     0.1     0.0     0.0     0.8     3.7     9.9    10.2    22.6     0.1    14.4    45.2    82.6
 1905    21.8    13.2    10.5    11.1     2.2     0.0     0.0     0.0     0.1     9.4    11.7    14.0    23.7     0.0    21.2    42.6    93.9
 1906    13.9    14.6    15.1     9.4     0.5     0.0     0.0     0.0     0.2     0.8     3.7    21.7    25.0     0.0     4.7    59.6    80.1
 1907    18.0    19.9    14.6     9.7     1.2     0.0     0.0     0.0     0.2     0.5     9.7    12.5    25.6     0.0    10.3    49.4    86.3
 1908    24.0    12.9    15.6    12.1     0.4     0.0     0.0     0.0     0.2     4.6    15.0    17.5    28.0     0.0    19.8    60.6   102.2
 1909    21.8    21.3    17.5     8.3     4.3     0.3     0.0     0.0     0.1     0.9    12.9    13.0    30.0     0.3    13.9    37.8   100.4
 1910    13.6    11.1    13.7     8.4     1.2     0.0     0.0     0.0     0.1     2.1    13.4     8.6    23.3     0.0    15.6    40.8    72.3
 1911    18.7    13.5    12.5     9.4     0.5     0.0     0.0     0.0     0.0     3.3     7.6     8.4    22.4     0.0    10.9    42.1    73.9
 1912    20.6    13.1     6.1     8.7     2.1     0.0     0.0     0.0     2.0     6.9     9.2     7.6    16.8     0.0    18.1    38.3    76.2
 1913    16.5    14.2     7.9     7.4     1.1     0.0     0.0     0.0     0.1     1.8     2.9    10.4    16.5     0.0     4.9    43.1    62.5
 1914    23.4     9.3     9.4     4.7     2.3     0.1     0.0     0.0     0.2     2.2     9.2     8.0    16.3     0.1    11.6    37.1    68.7
 1915    14.7    14.3    14.9     9.9     1.8     0.0     0.0     0.0     0.5     6.0    15.7     9.0    26.5     0.0    22.2    33.0    86.8
 1916     8.0    16.0    13.8     7.0     0.9     0.7     0.0     0.0     0.3     2.2     7.8    13.4    21.7     0.7    10.2    59.8    70.0
 1917    23.0    23.3    21.4    14.6     0.4     0.0     0.0     0.0     0.0     5.7     5.3    22.0    36.5     0.0    11.0    50.6   115.8
 1918    16.0    12.6    14.4     5.4     0.5     0.4     0.0     0.0     0.1     2.7    11.2     6.5    20.3     0.4    13.9    42.1    69.6
 1919    16.5    19.2    14.1    11.1     1.7     0.0     0.0     0.0     0.0     7.6    17.8    13.8    26.8     0.0    25.4    37.1   101.8
 1920    12.3    11.0     7.7     3.7     0.5     0.0     0.0     0.0     0.1     7.6    16.3    15.8    11.8     0.0    24.0    37.0    74.8
 1921     7.2    14.1     9.8     8.1     0.7     0.1     0.0     0.0     0.1     0.5    20.2    14.4    18.7     0.1    20.9    58.3    75.4
 1922    23.3    20.5    13.8    11.7     0.9     0.0     0.0     0.0     0.4    10.2    11.3     8.8    26.4     0.0    22.0    35.2   101.0
 1923    11.9    14.5     9.9    10.1     2.2     1.2     0.0     0.0     0.1     0.8    12.5    20.8    22.3     1.2    13.5    65.7    84.2
 1924    23.2    21.7    17.5    10.2     0.2     0.0     0.0     0.0     0.0     1.5    10.8    11.3    28.0     0.0    12.3    32.0    96.4
 1925    11.6     9.1    16.6     7.2     0.2     0.0     0.0     0.0     0.7     3.0    13.9    18.6    24.0     0.0    17.6    43.0    81.0
 1926    17.4     6.9    10.8     4.6     2.7     0.0     0.0     0.0     0.0     4.3     5.5    14.8    18.1     0.0     9.8    40.9    67.0
 1927    11.5    14.6     7.7     7.3     3.4     0.2     0.0     0.0     0.0     2.1    11.7    23.7    18.4     0.2    13.8    49.0    82.2
 1928    13.6    11.8    15.9     7.6     3.5     0.1     0.0     0.0     0.9     2.7     4.0    16.0    27.0     0.1     7.6    67.4    76.1
 1929    25.1    26.3    17.6    14.4     1.5     0.1     0.0     0.0     0.0     1.3     7.7     8.4    33.5     0.1     9.0    37.2   102.4
 1930    10.7    18.1    13.7     5.5     1.7     0.0     0.0     0.0     0.0     2.1     5.0    14.9    20.9     0.0     7.2    49.1    71.7
 1931    15.6    18.6    22.1    11.1     0.3     0.0     0.0     0.0     1.3     5.3     7.2    14.5    33.6     0.0    13.8    48.4    96.1
 1932    13.1    20.8    20.5     8.7     1.0     0.1     0.0     0.0     0.0     3.0     9.1    13.5    30.3     0.1    12.0    53.4    89.9
 1933    23.3    16.6    12.4     8.4     1.7     0.0     0.0     0.0     0.0     2.3    12.1    25.0    22.6     0.0    14.4    57.3   102.0
 1934    17.3    15.0    12.6     6.0     2.0     0.0     0.0     0.0     0.0     1.0     8.7     6.1    20.6     0.0     9.7    35.3    68.7
 1935    16.5    12.7    16.2     7.5     4.7     0.0     0.0     0.0     0.0     3.1     6.1    14.8    28.4     0.0     9.2    43.6    81.6
 1936    10.5    18.2    10.8    11.3     1.1     0.0     0.0     0.0     0.1     5.5     9.3    13.2    23.1     0.0    14.9    42.9    79.9
 1937    18.4    11.3    15.5     5.5     0.2     0.0     0.0     0.0     0.1     1.6    11.5    17.5    21.3     0.0    13.2    46.7    81.7
 1938    13.3    15.8     8.1    12.1     3.7     0.0     0.0     0.0     0.0     2.5     2.8    20.8    23.9     0.0     5.3    45.7    79.1
 1939    11.4    13.5    15.3     6.1     2.9     0.0     0.0     0.0     0.0     6.0     5.8    19.5    24.3     0.0    11.9    73.0    80.5
 1940    28.9    24.6    15.1     7.4     1.6     0.0     0.0     0.0     0.4     5.0     6.6    21.1    24.2     0.0    11.9    66.1   110.7
 1941    26.2    18.7    15.0    11.5     6.0     0.0     0.0     0.0     0.2     3.2    12.8    11.4    32.5     0.0    16.2    64.4   105.1
 1942    28.2    24.8    21.1     8.7     2.2     0.2     0.0     0.0     0.0     0.5     9.0    10.9    32.0     0.2     9.5    39.3   105.6
 1943    17.0    11.4    12.2     4.3     1.6     0.0     0.0     0.0     0.1     2.1    11.8    17.9    18.1     0.0    14.0    46.0    78.5
 1944     9.6    18.5    17.8     6.6     3.4     0.1     0.0     0.0     0.2     2.6     7.8    16.7    27.7     0.1    10.6    50.8    83.2
 1945    25.5     8.5     8.4     5.9     0.5     0.0     0.0     0.0     0.0     1.1     9.3    13.5    14.8     0.0    10.4    47.0    72.8
 1946    22.4    11.0    14.8     5.8     1.1     0.0     0.0     0.0     0.0     4.5     7.6    22.4    21.6     0.0    12.1    73.5    89.6
 1947    25.5    25.6    18.8     6.7     0.3     0.0     0.0     0.0     0.0     5.8     6.3    12.6    25.8     0.0    12.0    40.4   101.6
 1948    10.6    17.2    11.8     5.1     1.2     0.0     0.0     0.0     0.0     3.1     9.6    13.2    18.0     0.0    12.7    41.2    71.7
 1949    13.8    14.2    19.1     4.8     2.1     0.3     0.0     0.0     0.0     1.1    10.0     9.9    26.1     0.3    11.1    41.6    75.4
 1950    21.3    10.4    10.9     8.8     0.7     0.0     0.0     0.0     0.0     3.7     8.2    22.0    20.4     0.0    11.9    49.4    86.0
 1951    13.5    13.9    17.4    11.5     2.6     0.0     0.0     0.0     0.0     8.2     4.2    10.6    31.4     0.0    12.4    44.3    81.9
 1952    16.5    17.2    15.9     6.1     1.5     0.1     0.0     0.0     1.7     5.8    15.3    18.3    23.5     0.1    22.8    55.3    98.4
 1953    18.7    18.3    16.0     8.3     1.4     0.0     0.0     0.0     0.3     1.1     6.4     9.4    25.7     0.0     7.9    56.2    79.9
 1954    23.9    23.0    12.5    13.5     1.9     0.0     0.0     0.0     0.1     0.8     8.9     8.9    27.9     0.0     9.7    53.4    93.5
 1955    22.6    21.8    22.5    10.3     4.9     0.2     0.0     0.0     0.0     4.3     9.1    11.6    37.7     0.2    13.4    56.7   107.4
 1956    18.3    26.8    15.5    13.9     2.6     0.4     0.0     0.0     0.0     2.9    12.1     9.2    32.0     0.4    15.0    34.2   101.8
 1957    15.3     9.7     7.7     9.6     5.0     0.0     0.0     0.0     0.4     2.2     7.2    16.0    22.4     0.0     9.8    50.2    73.2
 1958    19.0    15.2    21.8    13.5     1.3     0.1     0.0     0.0     0.0     1.0     8.8    10.6    36.6     0.1     9.8    50.1    91.2
 1959    19.4    20.1     9.8     5.5     1.6     0.0     0.0     0.0     0.3     3.8    11.4    11.3    16.8     0.0    15.6    45.9    83.2
 1960    17.6    17.0    12.8     8.3     1.4     0.0     0.0     0.0     0.2     1.5     5.3    12.9    22.5     0.0     7.0    41.4    77.1
 1961    19.2     9.3     9.6     3.3     2.8     0.0     0.0     0.0     0.0     0.9    10.6    20.2    15.7     0.0    11.6    50.7    75.9
 1962    14.2    16.3    21.3     8.0     4.1     0.4     0.0     0.0     0.6     2.4    11.8    23.9    33.4     0.4    14.8    77.7   103.1
 1963    28.7    25.1    17.3     7.8     2.6     0.0     0.0     0.0     0.1     4.0     3.8    23.9    27.7     0.0     7.9    62.8   113.2
 1964    22.4    16.6    19.7     6.9     0.7     0.0     0.0     0.0     0.1     6.4     7.5    16.2    27.3     0.0    14.0    49.5    96.4
 1965    15.3    18.1    17.0     9.7     2.1     0.0     0.0     0.0     0.4     4.4    17.2    11.2    28.8     0.0    22.0    47.1    95.4
 1966    22.9    13.0    13.0     7.2     1.1     0.0     0.0     0.0     0.1     0.7    12.1    12.2    21.3     0.0    12.9    38.6    82.3
 1967    15.1    11.3     8.8    10.8     1.5     0.0     0.0     0.0     0.0     0.5    10.7    14.5    21.2     0.0    11.2    52.5    73.4
 1968    20.1    17.9    11.8     7.9     3.1     0.0     0.0     0.0     0.0     0.6     9.3    22.1    22.8     0.0     9.8    57.0    92.7
 1969    13.7    21.2    20.4    10.6     1.0     0.0     0.0     0.0     0.0     1.0     7.7    24.5    32.0     0.0     8.7    67.3   100.1
 1970    22.5    20.4    18.3    11.7     1.5     0.0     0.0     0.0     0.1     1.6     5.7    15.2    31.5     0.0     7.4    47.3    96.9
 1971    18.9    13.2    18.9     8.7     0.6     0.1     0.0     0.0     0.4     3.0     9.9     7.8    28.2     0.1    13.3    44.7    81.5
 1972    22.3    14.6    12.8     7.8     1.8     0.2     0.0     0.0     1.3     6.5     8.0    13.6    22.4     0.2    15.8    44.1    88.9
 1973    15.7    14.8    13.3    12.5     1.7     0.0     0.0     0.0     0.0     5.0    11.2    15.5    27.4     0.0    16.3    36.5    89.6
 1974     9.9    11.2    11.0     8.0     2.8     0.1     0.0     0.0     0.1     7.2     7.1     4.9    21.8     0.1    14.5    28.6    62.4
 1975     7.0    16.6    12.8     9.5     2.7     0.1     0.0     0.0     0.0     4.6    10.8    12.4    25.0     0.1    15.4    44.1    76.6
 1976    14.2    17.5    19.4    11.4     1.5     0.0     0.0     0.0     0.1     1.3     6.6    19.3    32.2     0.0     7.9    47.5    91.2
 1977    16.7    11.5     8.6    12.1     2.4     0.0     0.0     0.0     0.4     1.2     6.5    10.5    23.1     0.0     8.1    46.2    70.0
 1978    15.3    20.3     9.9    10.7     1.6     0.0     0.0     0.0     0.1     1.5     7.6    18.1    22.1     0.0     9.3    66.6    85.2
 1979    26.3    22.1    14.2     9.3     2.2     0.0     0.0     0.0     0.2     2.7    10.0     7.8    25.7     0.0    12.9    44.1    94.9
 1980    23.1    13.2    13.8     9.9     3.6     0.0     0.0     0.0     0.0     4.2    11.0    14.5    27.3     0.0    15.2    51.7    93.2
 1981    18.6    18.6     6.0     8.1     0.7     0.0     0.0     0.0     0.0     4.2     7.8    23.3    14.9     0.0    12.0    64.0    87.4
 1982    23.3    17.4    13.3    10.8     1.7     0.0     0.0     0.0     0.0     1.1     4.5    13.1    25.9     0.0     5.6    42.2    85.2
 1983     8.4    20.7    11.6     6.8     1.7     0.0     0.0     0.0     0.0     2.1    10.0    14.2    20.1     0.0    12.1    46.8    75.5
 1984    14.8    17.8    16.7    10.8     2.5     0.1     0.0     0.0     0.1     0.8     5.4    12.3    30.0     0.1     6.3    62.2    81.3
 1985    27.1    22.8    15.2     7.3     0.5     0.2     0.0     0.0     0.0     2.3    17.0     7.8    23.0     0.2    19.4    51.0   100.3
 1986    18.0    25.2    16.7    11.8     0.8     0.0     0.0     0.0     1.7     1.7     5.2    11.5    29.3     0.0     8.5    56.9    92.6
 1987    26.8    18.6    22.0     5.3     4.5     0.1     0.0     0.0     0.0     2.0     5.7    11.4    31.9     0.1     7.7    32.2    96.5
 1988     8.5    12.3    13.0     9.0     0.3     0.0     0.0     0.0     0.0     1.5    10.4     6.0    22.3     0.0    12.0    28.4    61.1
 1989    11.5    10.9     6.9     9.0     0.8     0.0     0.0     0.0     0.0     0.5    12.3    11.5    16.7     0.0    12.8    27.5    63.5
 1990     9.5     6.5     6.4     8.8     0.8     0.0     0.0     0.0     0.3     1.0     7.9    12.4    16.0     0.0     9.2    49.2    53.6
 1991    14.5    22.3     6.7     9.3     4.6     0.3     0.0     0.0     0.0     2.9     9.6    14.3    20.6     0.3    12.6    41.6    84.5
 1992    15.5    11.9     9.3     7.2     0.1     0.0     0.0     0.0     0.0     6.8     6.0    12.7    16.6     0.0    12.8    42.4    69.3
 1993    13.3    16.4    13.9     3.4     0.2     0.0     0.0     0.0     0.2     3.6    17.4     9.9    17.6     0.0    21.3    40.0    78.5
 1994    10.5    19.6     8.1     7.1     1.0     0.0     0.0     0.0     0.0     4.8     2.3     9.1    16.1     0.0     7.1    32.8    62.5
 1995    15.9     7.8    14.0     6.3     1.7     0.0     0.0     0.0     0.0     0.3     9.1    23.0    22.0     0.0     9.4    68.9    78.2
 1996    23.6    22.3    19.7     8.4     3.0     0.0     0.0     0.0     0.9     2.1     8.3    21.8    31.1     0.0    11.3    55.4   110.1
 1997    24.6     9.0     8.3    10.7     1.3     0.0     0.0     0.0     0.2     4.8     8.2    10.5    20.2     0.0    13.2    31.4    77.5
 1998    11.9     9.0     8.6     4.7     0.2     0.0     0.0     0.0     0.0     2.3    14.5    12.7    13.5     0.0    16.9    38.7    63.9
 1999    10.8    15.3     8.2     5.0     0.4     0.0     0.0     0.0     0.0     2.0     8.4    10.8    13.6     0.0    10.4    33.4    60.8
 2000    12.7     9.9     8.6     4.4     0.1     0.0     0.0     0.0     0.0     0.7     4.3     8.7    13.1     0.0     5.1    37.9    49.5
 2001    16.0    13.2    12.4     8.2     0.5     0.1     0.0     0.0     0.1     0.0     7.7    16.4    21.2     0.1     7.8    36.2    74.7
 2002    12.7     7.1     9.7     6.8     0.3     0.0     0.0     0.0     0.0     3.8     5.5    15.8    16.8     0.0     9.2    54.9    61.6
 2003    18.3    20.7    11.1     7.5     0.5     0.0     0.0     0.0     0.2     9.0     4.7    12.3    19.0     0.0    13.8    40.2    84.2
 2004    15.9    12.0    12.2     4.8     1.8     0.0     0.0     0.0     0.0     1.2     8.0    13.9    18.8     0.0     9.2    42.2    69.8
 2005    10.9    17.4    12.4     5.2     1.4     0.0     0.0     0.0     0.0     0.3     7.1    12.4    19.0     0.0     7.3    50.4    67.1
 2006    21.7    16.3    18.3     7.5     0.4     0.0     0.0     0.0     0.0     0.0     3.2     5.7    26.2     0.0     3.2    20.5    73.1
 2007     6.1     8.8     7.7     3.4     0.2     0.0     0.0     0.0     0.1     3.4     7.7    11.9    11.3     0.0    11.2    31.7    49.2
 2008     8.1    11.8    11.3     7.7     0.1     0.0     0.0     0.0     0.2     2.6     6.3    14.7    19.1     0.0     9.0    51.9    62.7
 2009    22.0    15.2    11.2     2.9     0.7     0.0     0.0     0.0     0.0     2.8     2.3    16.6    14.8     0.0     5.1    60.0    73.7
 2010    24.3    19.1    12.4     7.3     3.6     0.0     0.0     0.0     0.2     3.1     8.2    24.6    23.3     0.0    11.5    52.7   102.8
 2011    14.4    13.8    12.8     2.6     0.7     0.0     0.0     0.0     0.0     2.0     6.7     7.2    16.1     0.0     8.7    41.2    60.1
 2012    11.8    22.2     8.1     8.1     0.3     0.0     0.0     0.0     0.1     2.6     6.7    11.9    16.5     0.0     9.5    47.3    72.0
 2013    17.5    17.9    21.6     9.0     1.9     0.0     0.0     0.0     0.0     0.5     6.9     7.9    32.5     0.0     7.4    27.8    83.2
 2014    11.2     8.7     8.2     2.7     0.6     0.0     0.0     0.0     0.0     0.1     4.0    10.0    11.6     0.0     4.0    37.9    45.5
 2015    12.7    15.2    11.1     8.9     2.0     0.0     0.0     0.0     0.2     2.7     2.2     1.8    22.0     0.0     5.0    27.6    56.7
 2016    13.8    11.9    12.9     7.8     0.2     0.0     0.0     0.0     0.0     2.8    10.2    10.7    21.0     0.0    13.0    43.0    70.4
 2017    20.9    11.4     6.5     8.7     0.2     0.0     0.0     0.0     0.1     0.1     6.2     9.5    15.3     0.0     6.4    40.0    63.5
 2018     9.5    21.0    16.5     2.6     0.0     0.0     0.0     0.0     0.0     1.3     6.9     6.5    19.2     0.0     8.2    32.0    64.3
 2019    15.0    10.5     6.7     5.6     2.9     0.0     0.0     0.0     0.0     0.8     7.1     8.0    15.3     0.0     7.9    24.0    56.7
 2020     8.7     7.2    10.4     5.6     2.3     0.0     0.0     0.0     0.0     0.8     4.0     8.0    18.2     0.0     4.8    38.6    46.9
 2021    15.2    15.5    11.7    13.2     2.8     0.0     0.0     0.0     0.0     1.3     5.5     9.6    27.7     0.0     6.9    27.6    74.8
 2022     9.8     8.2    10.2     7.5     0.5     0.0     0.0     0.0     0.0     0.1     4.2    13.2    18.2     0.0     4.3    32.6    53.8
 2023     8.8    10.7     8.8     7.6     1.0     0.0     0.0     0.0     0.0     0.2     5.4     6.0    17.5     0.0     5.6  -999.0    48.4
