Month-Year,Cloud cover,Diurnal Temperature Range,Frost days,potential evapo-transpiration,Precipitation rate,Minimum 2m temperature,Mean 2m temperature,Maximum 2m temperature,Vapour pressure,Wet days
JAN-1901,80.8,5.7,24.9,0.0,40.1,-3.7,-0.8,2.1,6.1,16.1
FEB-1901,77.3,6.1,23.1,0.1,29.3,-4.3,-1.2,1.9,5.7,11.0
MAR-1901,87.1,5.8,15.8,0.9,52.8,0.8,3.7,6.6,7.0,17.7
APR-1901,71.5,8.7,6.9,2.1,66.9,4.2,8.5,12.9,8.3,17.3
MAY-1901,53.5,10.9,1.9,3.1,29.3,7.1,12.5,18.0,10.9,11.0
JUN-1901,66.5,9.5,0.0,3.2,61.4,10.1,14.9,19.6,12.8,13.3
JUL-1901,61.5,10.3,0.0,3.7,58.1,13.2,18.4,23.5,15.9,14.0
AUG-1901,67.9,9.3,0.0,2.6,66.0,12.1,16.7,21.4,15.7,14.3
SEP-1901,75.5,8.2,0.0,1.7,66.6,10.0,14.1,18.2,13.5,16.3
OCT-1901,80.4,6.8,1.9,0.9,80.5,7.2,10.5,14.0,11.2,17.6
NOV-1901,79.2,6.2,12.4,0.5,62.3,1.9,5.0,8.2,7.7,18.2
DEC-1901,89.7,4.3,14.2,0.4,82.7,1.4,3.5,5.7,7.0,21.2
JAN-1902,90.2,4.3,9.7,0.8,52.1,3.1,5.2,7.4,7.0,18.1
FEB-1902,79.5,5.8,21.2,0.4,27.0,-2.5,0.4,3.4,5.9,10.1
MAR-1902,78.4,7.0,13.2,1.1,41.8,1.8,5.2,8.8,7.3,16.3
APR-1902,71.6,8.7,8.5,2.0,46.9,3.5,7.8,12.2,7.9,13.1
MAY-1902,77.5,8.2,6.1,1.9,71.3,4.7,8.8,12.9,9.8,17.4
JUN-1902,64.5,9.8,0.0,3.4,41.7,10.1,14.9,19.9,12.5,12.1
JUL-1902,70.6,9.0,0.0,2.9,55.9,10.8,15.2,19.7,13.9,14.8
AUG-1902,74.7,8.3,0.0,2.2,111.8,10.6,14.7,18.9,14.1,17.8
SEP-1902,75.1,8.2,0.5,1.6,49.2,8.6,12.7,16.8,12.6,14.2
OCT-1902,82.4,6.5,5.4,0.7,50.6,5.0,8.3,11.5,10.2,14.8
NOV-1902,81.5,5.9,15.0,0.2,28.3,0.9,3.8,6.8,7.9,11.8
DEC-1902,86.0,4.9,22.0,0.0,65.7,-1.6,0.8,3.3,6.6,18.1
JAN-1903,85.9,4.9,15.9,0.6,49.1,0.7,3.2,5.6,6.3,17.2
FEB-1903,78.8,5.9,9.0,1.1,34.7,3.0,6.0,8.9,7.1,11.5
MAR-1903,72.1,7.8,8.5,1.6,54.6,3.6,7.5,11.5,7.9,17.5
APR-1903,87.0,6.9,12.7,1.1,101.2,1.8,5.2,8.6,8.0,18.8
MAY-1903,65.3,9.6,1.0,2.9,49.3,7.9,12.7,17.5,10.8,14.2
JUN-1903,68.5,9.2,0.1,2.9,70.9,9.5,14.1,18.7,12.9,14.9
JUL-1903,73.2,8.6,0.0,2.9,100.3,11.7,16.0,20.4,14.6,16.6
AUG-1903,77.5,7.9,0.0,2.3,91.4,11.6,15.5,19.4,14.6,17.8
SEP-1903,72.4,8.7,0.0,2.0,87.4,10.0,14.3,18.7,13.0,18.1
OCT-1903,84.6,6.1,1.0,1.2,113.5,8.0,11.0,14.1,10.5,21.6
