Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value
QCL,Crops and livestock products,150,Netherlands (Kingdom of the),5312,Area harvested,221,"Almonds, in shell",2018,2018,ha,0.0
QCL,Crops and livestock products,150,Netherlands (Kingdom of the),5510,Production,221,"Almonds, in shell",2018,2018,t,0.0
QCL,Crops and livestock products,150,Netherlands (Kingdom of the),5312,Area harvested,221,"Almonds, in shell",2019,2019,ha,0.0
QCL,Crops and livestock products,150,Netherlands (Kingdom of the),5510,Production,221,"Almonds, in shell",2019,2019,t,0.0
QCL,Crops and livestock products,150,Netherlands (Kingdom of the),5312,Area harvested,221,"Almonds, in shell",2020,2020,ha,0.0
QCL,Crops and livestock products,150,Netherlands (Kingdom of the),5510,Production,221,"Almonds, in shell",2020,2020,t,0.0
QCL,Crops and livestock products,150,Netherlands (Kingdom of the),5312,Area harvested,221,"Almonds, in shell",2021,2021,ha,0.0
QCL,Crops and livestock products,150,Netherlands (Kingdom of the),5510,Production,221,"Almonds, in shell",2021,2021,t,0.0
QCL,Crops and livestock products,150,Netherlands (Kingdom of the),5312,Area harvested,221,"Almonds, in shell",2022,2022,ha,0.0
QCL,Crops and livestock products,150,Netherlands (Kingdom of the),5510,Production,221,"Almonds, in shell",2022,2022,t,0.0
QCL,Crops and livestock products,150,Netherlands (Kingdom of the),5312,Area harvested,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1961,1961,ha,4145.0
QCL,Crops and livestock products,150,Netherlands (Kingdom of the),5412,Yield,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1961,1961,kg/ha,1447.5
QCL,Crops and livestock products,150,Netherlands (Kingdom of the),5510,Production,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1961,1961,t,6000.0
QCL,Crops and livestock products,150,Netherlands (Kingdom of the),5312,Area harvested,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1962,1962,ha,3947.0
QCL,Crops and livestock products,150,Netherlands (Kingdom of the),5412,Yield,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1962,1962,kg/ha,1773.5
QCL,Crops and livestock products,150,Netherlands (Kingdom of the),5510,Production,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1962,1962,t,7000.0
QCL,Crops and livestock products,150,Netherlands (Kingdom of the),5312,Area harvested,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1963,1963,ha,3819.0
QCL,Crops and livestock products,150,Netherlands (Kingdom of the),5412,Yield,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1963,1963,kg/ha,1571.1
QCL,Crops and livestock products,150,Netherlands (Kingdom of the),5510,Production,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1963,1963,t,6000.0
QCL,Crops and livestock products,150,Netherlands (Kingdom of the),5312,Area harvested,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1964,1964,ha,4606.0
QCL,Crops and livestock products,150,Netherlands (Kingdom of the),5412,Yield,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1964,1964,kg/ha,1736.9
QCL,Crops and livestock products,150,Netherlands (Kingdom of the),5510,Production,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1964,1964,t,8000.0
QCL,Crops and livestock products,150,Netherlands (Kingdom of the),5312,Area harvested,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1965,1965,ha,4621.0
QCL,Crops and livestock products,150,Netherlands (Kingdom of the),5412,Yield,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1965,1965,kg/ha,1082.0
QCL,Crops and livestock products,150,Netherlands (Kingdom of the),5510,Production,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1965,1965,t,5000.0
QCL,Crops and livestock products,150,Netherlands (Kingdom of the),5312,Area harvested,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1966,1966,ha,3676.0
QCL,Crops and livestock products,150,Netherlands (Kingdom of the),5412,Yield,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1966,1966,kg/ha,1540.3
QCL,Crops and livestock products,150,Netherlands (Kingdom of the),5510,Production,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1966,1966,t,5662.0
QCL,Crops and livestock products,150,Netherlands (Kingdom of the),5312,Area harvested,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1967,1967,ha,3224.0
QCL,Crops and livestock products,150,Netherlands (Kingdom of the),5412,Yield,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1967,1967,kg/ha,1371.0
QCL,Crops and livestock products,150,Netherlands (Kingdom of the),5510,Production,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1967,1967,t,4420.0
QCL,Crops and livestock products,150,Netherlands (Kingdom of the),5312,Area harvested,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1968,1968,ha,2996.0
QCL,Crops and livestock products,150,Netherlands (Kingdom of the),5412,Yield,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1968,1968,kg/ha,1297.4
QCL,Crops and livestock products,150,Netherlands (Kingdom of the),5510,Production,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1968,1968,t,3887.0
QCL,Crops and livestock products,150,Netherlands (Kingdom of the),5312,Area harvested,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1969,1969,ha,2683.0
QCL,Crops and livestock products,150,Netherlands (Kingdom of the),5412,Yield,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1969,1969,kg/ha,1575.1
QCL,Crops and livestock products,150,Netherlands (Kingdom of the),5510,Production,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1969,1969,t,4226.0
QCL,Crops and livestock products,150,Netherlands (Kingdom of the),5312,Area harvested,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1970,1970,ha,1718.0
QCL,Crops and livestock products,150,Netherlands (Kingdom of the),5412,Yield,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1970,1970,kg/ha,1775.9
QCL,Crops and livestock products,150,Netherlands (Kingdom of the),5510,Production,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1970,1970,t,3051.0
QCL,Crops and livestock products,150,Netherlands (Kingdom of the),5312,Area harvested,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1971,1971,ha,1613.0
QCL,Crops and livestock products,150,Netherlands (Kingdom of the),5412,Yield,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1971,1971,kg/ha,1695.0
QCL,Crops and livestock products,150,Netherlands (Kingdom of the),5510,Production,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1971,1971,t,2734.0
QCL,Crops and livestock products,150,Netherlands (Kingdom of the),5312,Area harvested,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1972,1972,ha,2300.0
QCL,Crops and livestock products,150,Netherlands (Kingdom of the),5412,Yield,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1972,1972,kg/ha,1072.6
QCL,Crops and livestock products,150,Netherlands (Kingdom of the),5510,Production,711,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",1972,1972,t,2467.0
