 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    40.1    29.3    52.8    66.9    29.3    61.4    58.1    66.0    66.6    80.5    62.3    82.7   149.0   185.5   209.5   161.8   696.0
 1902    52.1    27.0    41.8    46.9    71.3    41.7    55.9   111.8    49.2    50.6    28.3    65.7   160.0   209.3   128.1   149.5   642.2
 1903    49.1    34.7    54.6   101.2    49.3    70.9   100.3    91.4    87.4   113.5    72.7    26.6   205.1   262.6   273.6   143.8   851.7
 1904    51.1    66.1    44.2    28.4    51.3    58.7    40.2    48.1    36.3    47.0    67.0    68.4   123.9   147.0   150.3   141.1   606.8
 1905    39.1    33.5    68.9    50.4    34.7    67.4    52.8    95.5    64.8   126.2    59.9    31.9   154.0   215.8   250.9   196.9   725.3
 1906   108.2    56.8    55.6    25.4    78.8    40.7    59.8    67.0    35.4    68.4    74.8    75.4   159.8   167.4   178.6   154.5   746.3
 1907    44.9    34.2    42.2    40.4    62.2    80.3    42.0    49.0    25.6    72.2    43.1    69.6   144.8   171.2   140.8   173.7   605.7
 1908    45.3    58.7    49.5    38.4    54.4    51.6    81.1    87.2    53.8     7.3    56.3    35.5   142.4   219.8   117.4   100.7   619.1
 1909    33.5    31.7    60.9    57.3    30.4    61.3   103.7    83.0    65.7    76.8    54.6   105.9   148.6   248.0   197.1   254.0   764.8
 1910    75.8    72.3    28.6    44.2    52.5    69.0   115.5    41.9    78.6    31.8   112.4    71.3   125.3   226.4   222.9   152.9   794.0
 1911    34.4    47.2    56.8    28.6    28.1    66.2    20.2    16.0    61.2    93.6    76.5    75.1   113.5   102.4   231.3   174.3   603.9
 1912    56.8    42.4    72.7    23.5    38.3    80.5    48.4   142.0    95.0    69.9    83.8    70.5   134.5   270.8   248.7   160.7   823.8
 1913    65.6    24.6    66.7    35.4    61.1    80.9    86.8    35.7    52.9    53.4    73.8    71.7   163.1   203.4   180.1   158.2   708.5
 1914    54.1    32.4   120.8    38.2    43.7    80.5    85.6    43.7    97.7    41.5    66.2   100.8   202.8   209.8   205.4   272.3   805.3
 1915   112.3    59.2    58.1    37.0    57.4    44.7    98.0    97.2    58.3    26.0    92.7   135.1   152.5   240.0   177.1   270.3   876.0
 1916    67.4    67.8    54.7    57.7    53.3    95.0    41.3    90.8    59.5    83.0    51.3    88.5   165.7   227.1   193.7   142.1   810.3
 1917    43.9     9.7    48.1    46.8    27.7    66.5    86.0   129.9    36.5   137.6    55.8    49.0   122.7   282.4   229.9   167.0   737.5
 1918    76.5    41.5    27.6    44.0    30.7    41.0    85.9    81.0   144.3    68.9    39.6   101.3   102.3   207.9   252.8   198.1   782.3
 1919    50.7    46.1    63.4    60.3    21.9    48.4   101.4    44.1    60.8    61.3    72.3   121.6   145.5   193.9   194.4   245.4   752.2
 1920    92.5    31.2    20.9    77.9    59.3    38.7   104.5    83.9    48.8    16.9    17.4    52.0   158.1   227.1    83.1   149.1   644.0
 1921    87.3     9.8    26.4    26.2    20.1    36.9    10.4    44.0    33.8    26.8    47.2    57.8    72.7    91.4   107.8   187.9   426.7
 1922    73.6    56.5    51.0    67.0    17.0    60.1    81.8    78.7    84.7    33.9    68.3    66.7   135.0   220.6   186.8   179.2   739.2
 1923    54.8    57.8    31.1    33.4    97.3    52.1    57.5    73.8    80.5   131.2    68.0    74.3   161.9   183.4   279.7   146.6   811.8
 1924    41.6    30.7    35.8    58.9    60.3    33.7    96.0   145.1    79.8    92.3    28.0    45.7   155.0   274.8   200.1   179.0   747.8
 1925    70.9    62.4    50.6    46.6    73.9    44.6    78.0    77.8   118.5    78.2    85.1   129.6   171.1   200.4   281.8   246.8   916.3
 1926    62.5    54.7    29.2    34.3    72.2    55.0    87.4    68.2    60.1   120.7    57.5    47.9   135.7   210.7   238.3   149.4   749.8
