 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901     2.1     1.9     6.6    12.9    18.0    19.6    23.5    21.4    18.2    14.0     8.2     5.7    12.5    21.5    13.4     5.5    12.7
 1902     7.4     3.4     8.8    12.2    12.9    19.9    19.7    18.9    16.8    11.5     6.8     3.3    11.3    19.5    11.7     6.0    11.8
 1903     5.6     8.9    11.5     8.6    17.5    18.7    20.4    19.4    18.7    14.1     8.8     3.7    12.5    19.5    13.9     4.3    13.0
 1904     3.7     5.6     7.5    13.5    16.9    19.1    23.7    21.7    16.8    13.1     8.1     7.5    12.6    21.5    12.7     5.9    13.1
 1905     4.0     6.3     9.7    10.0    17.1    21.7    22.5    20.9    16.8     9.4     7.4     5.7    12.3    21.7    11.2     5.7    12.6
 1906     6.2     5.2     7.3    12.8    17.1    18.3    21.5    21.4    18.2    15.3    10.6     3.3    12.4    20.4    14.7     3.8    13.1
 1907     4.7     3.3     8.7    11.4    17.6    17.7    17.9    19.9    18.8    15.5     8.9     6.2    12.6    18.5    14.4     5.1    12.5
 1908     2.9     6.1     7.1     9.8    17.1    20.7    21.0    19.1    17.6    14.6     7.7     4.2    11.3    20.3    13.3     3.8    12.3
 1909     3.8     3.4     6.3    13.0    16.4    17.3    18.3    20.7    16.8    14.9     7.3     6.4    11.9    18.8    13.0     6.6    12.0
 1910     6.2     7.1     9.5    12.0    17.1    20.6    18.9    20.5    17.2    14.1     6.7     7.9    12.9    20.0    12.7     6.1    13.1
 1911     3.8     6.7     9.0    11.9    18.7    19.3    24.3    25.5    20.0    13.4     9.0     7.9    13.2    23.0    14.2     6.5    14.1
 1912     3.9     7.7    10.7    12.7    16.6    19.5    23.2    18.0    14.3    12.0     7.7     8.5    13.4    20.2    11.3     6.8    12.9
 1913     5.0     7.0    11.0    13.1    17.3    18.5    18.2    19.7    18.1    15.0    11.2     6.9    13.8    18.8    14.8     6.3    13.4
 1914     2.6     9.3     9.4    15.1    15.5    18.5    22.0    22.2    17.9    12.8     7.9     8.3    13.3    20.9    12.9     6.5    13.4
 1915     5.1     6.1     6.8    11.6    17.7    21.5    20.1    19.8    17.8    11.0     6.1     8.3    12.1    20.5    11.6     7.5    12.7
 1916     8.5     5.8     8.1    13.1    17.9    16.2    19.4    20.5    17.3    13.2     9.1     5.8    13.0    18.7    13.2     3.1    12.9
 1917     1.8     1.7     5.0     8.2    20.6    23.7    21.6    20.8    19.5    12.0     9.9     3.1    11.3    22.0    13.8     5.3    12.3
 1918     5.9     6.9     9.6    12.2    19.4    17.2    20.5    20.5    16.9    12.5     7.8     8.6    13.7    19.4    12.4     5.7    13.2
 1919     4.6     3.9     7.4    10.0    18.2    19.2    17.6    20.9    19.8    10.7     4.6     6.0    11.9    19.2    11.7     7.4    11.9
 1920     7.0     9.1    12.0    13.1    18.0    19.9    21.0    18.6    17.2    13.2     6.8     4.9    14.4    19.8    12.4     6.7    13.4
 1921     8.7     6.5    11.8    13.5    18.8    18.5    23.3    22.2    19.3    17.5     4.6     5.8    14.7    21.3    13.8     4.4    14.2
 1922     2.7     4.5     7.9     9.7    18.8    19.2    19.1    19.4    15.7    10.1     7.5     7.2    12.1    19.2    11.1     6.4    11.8
 1923     6.4     5.5    10.3    11.9    14.5    14.5    23.0    20.1    17.5    14.3     6.5     3.3    12.2    19.2    12.8     3.0    12.3
 1924     2.9     2.7     7.1    10.2    17.7    18.8    20.8    18.4    17.7    13.8     8.1     6.7    11.7    19.3    13.2     7.2    12.1
 1925     7.0     8.0     6.6    12.7    18.5    18.9    22.5    20.4    15.3    13.5     6.1     4.6    12.6    20.6    11.6     5.9    12.8
 1926     4.6     8.6     9.2    14.5    14.5    17.5    21.4    20.7    19.6    11.8    10.0     5.5    12.7    19.9    13.8     6.0    13.2
 1927     6.3     6.2    10.9    11.2    15.6    17.2    20.9    20.8    17.7    13.8     6.5     1.7    12.6    19.6    12.7     5.2    12.4
 1928     6.2     7.8     8.9    12.2    14.9    17.8    22.8    20.6    18.4    13.7    10.6     4.7    12.0    20.4    14.2     1.5    13.2
 1929     0.9    -1.0     8.3     9.1    18.0    17.8    21.5    22.0    21.8    13.8     9.7     8.5    11.8    20.4    15.1     7.1    12.5
 1930     7.9     4.9     9.5    12.7    15.9    22.5    20.1    21.3    17.4    13.9    10.3     5.2    12.7    21.3    13.9     4.8    13.5
