 YEAR     JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC     MAM     JJA     SON     DJF     ANN
 1901    -3.7    -4.3     0.8     4.2     7.1    10.1    13.2    12.1    10.0     7.2     1.9     1.4     4.0    11.8     6.4     0.7     5.0
 1902     3.1    -2.5     1.8     3.5     4.7    10.1    10.8    10.6     8.6     5.0     0.9    -1.6     3.3    10.5     4.9     0.7     4.6
 1903     0.7     3.0     3.6     1.8     7.9     9.5    11.7    11.6    10.0     8.0     3.7    -0.2     4.4    10.9     7.2    -0.1     6.0
 1904    -1.0     0.8     0.9     4.9     7.5     9.5    12.7    11.5     8.3     6.0     2.9     2.9     4.4    11.2     5.7     0.9     5.6
 1905    -1.5     1.2     2.8     2.5     6.9    11.6    13.3    11.9     9.6     3.3     2.2     1.5     4.1    12.3     5.0     1.2     5.4
 1906     1.5     0.6     1.1     3.1     8.6    10.0    12.4    12.6     9.4     8.2     5.9    -1.5     4.3    11.7     7.8    -1.1     6.0
 1907    -0.0    -1.6     1.2     3.0     7.7    10.0    10.3    11.6     9.3     8.7     3.0     2.1     4.0    10.6     7.0     0.2     5.4
 1908    -2.9     1.6     0.9     2.1     8.8    11.3    12.6    11.1     9.4     5.5     0.9     0.2     3.9    11.7     5.3    -1.3     5.1
 1909    -1.6    -2.6     0.2     3.6     5.6     9.0    11.1    12.0     9.6     8.1     1.7     1.8     3.1    10.7     6.5     1.9     4.9
 1910     1.6     2.1     1.6     3.6     7.7    11.7    11.7    12.2     9.6     7.0     1.5     3.6     4.3    11.9     6.1     1.5     6.2
 1911    -0.3     1.1     2.0     3.1     8.6    10.1    13.4    14.4    10.4     6.2     3.9     3.7     4.6    12.6     6.8     1.4     6.4
 1912    -1.0     1.5     4.7     3.4     7.0    10.7    13.6    10.7     7.0     4.3     3.2     4.0     5.0    11.6     4.9     1.8     5.8
 1913     0.5     0.8     3.9     4.0     7.8    10.2    10.8    10.9     9.5     7.3     6.4     2.8     5.2    10.6     7.7     1.1     6.2
 1914    -2.5     2.9     3.3     5.3     6.8     9.6    13.4    13.1     9.4     6.9     3.2     3.8     5.1    12.0     6.5     1.9     6.3
 1915     1.2     0.8     1.1     2.9     7.2    10.8    11.6    11.7     8.7     4.8     0.6     3.4     3.8    11.4     4.7     2.5     5.4
 1916     3.8     0.3     1.5     4.2     8.1     8.3    11.3    12.2     9.1     7.0     3.8     1.7     4.6    10.6     6.6    -1.7     5.9
 1917    -2.2    -4.5    -1.4     1.0     8.8    12.4    12.4    12.8    10.7     4.9     5.0    -1.6     2.8    12.6     6.9     0.2     4.9
 1918     0.7     1.5     1.3     4.9     8.6     8.7    12.0    12.1     9.8     6.6     2.4     4.5     5.0    11.0     6.3     1.3     6.1
 1919     0.5    -1.3     1.4     2.4     7.3     9.7    10.3    11.6    10.2     4.0    -0.2     1.5     3.7    10.6     4.7     2.0     4.8
 1920     2.1     2.3     4.0     5.9     8.6    10.2    12.5    11.0     9.8     4.0     0.4     0.8     6.2    11.3     4.7     2.0     6.0
 1921     4.2     0.9     3.1     3.7     8.2     9.7    13.1    12.5     9.5     8.7    -1.2     1.3     5.0    11.7     5.7    -1.0     6.1
 1922    -2.4    -2.0     1.5     2.2     8.0    10.4    11.5    11.1     8.8     2.9     2.3     3.5     3.9    11.0     4.7     2.2     4.8
 1923     2.3     0.7     3.0     2.8     6.9     7.7    14.1    11.6     9.5     8.2     1.9    -1.1     4.3    11.1     6.5    -1.9     5.6
 1924    -2.3    -2.3     0.1     2.8     9.1    10.5    12.3    11.0    10.7     7.5     2.6     2.5     4.0    11.3     6.9     2.6     5.4
 1925     2.4     3.0     0.5     4.1     9.1    10.1    13.8    12.9     8.4     6.4     1.3    -0.3     4.6    12.3     5.4     1.3     6.0
 1926     0.2     4.0     2.7     5.4     6.6     9.9    13.6    12.5    11.4     5.6     4.9     1.2     4.9    12.0     7.3     1.4     6.5
 1927     2.4     0.7     4.0     4.1     6.1     9.2    13.3    13.0    10.8     7.0     2.2    -2.6     4.7    11.8     6.7     0.3     5.8
 1928     1.6     2.0     0.7     3.9     6.1     9.3    12.3    12.2     8.1     6.6     5.7     0.7     3.6    11.3     6.8    -3.9     5.8
 1929    -3.8    -8.5     0.1     1.1     7.5     9.5    12.6    12.2    11.0     7.6     3.9     3.7     2.9    11.4     7.5     1.9     4.8
 1930     2.7    -0.8     1.6     4.9     7.3    12.4    12.5    12.2    10.7     7.0     5.1     1.1     4.6    12.4     7.6     0.3     6.4
 1931     0.9    -1.0    -1.7     2.4     8.8    10.3    12.7    11.7     7.7     5.1     4.1     1.3     3.2    11.5     5.6     0.4     5.2
 1932     1.8    -1.8    -1.0     3.4     7.9     9.4    13.2    13.9    11.3     6.4     3.3     1.7     3.4    12.2     7.0    -0.3     5.8
 1933    -2.4    -0.2     2.1     3.5     7.3    10.1    13.2    12.6    10.1     6.9     2.0    -3.8     4.3    12.0     6.3    -1.0     5.1
 1934     0.2     0.5     2.0     4.7     7.1    10.0    12.7    11.9    11.0     8.0     3.4     4.7     4.6    11.5     7.5     2.2     6.4
 1935     0.5     1.5     0.6     4.0     5.4    11.5    12.7    12.0    10.3     6.3     4.6     1.2     3.3    12.1     7.1     1.1     5.9
 1936     2.8    -0.6     2.7     2.4     7.8    10.7    12.6    12.3    10.0     5.0     3.2     1.8     4.3    11.9     6.1     1.2     5.9
